AADFYear,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6065","Counted","Manual count","North East","Durham","A1","TM","430155","523913","LA Boundary","60/A689","7.20","4.47000000000000000","0","75","28424","194","4388","1859","292","244","809","1685","1400","6289","39370"
"2000","6072","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A194","TM","428760","557200","LA Boundary","A182","1.50",".93000000000000000","0","83","13484","102","2140","600","114","398","167","387","426","2092","17901"
"2000","6090","Estimated","Estimated using previous year's AADF on this link","North East","Gateshead","A167","PA","425740","563330","A167","A167",".50",".31000000000000000","42","262","48338","280","4900","1061","118","127","90","131","159","1686","55466"
"2000","6091","Counted","Manual count","North East","Northumberland","A1","TA","420000","582950","A197","A912","6.40","3.98000000000000000","4","145","14096","48","1623","447","75","107","179","507","319","1634","17546"
"2000","6240","Counted","Manual count","North East","Hartlepool","A19","TA","445072","530000","A19 SPUR","LA Boundary","6.60","4.10000000000000000","0","95","30134","254","4446","1635","218","183","389","993","861","4279","39208"
"2000","6241","Estimated","Estimated using previous year's AADF on this link","North East","Sunderland","A1018","PA","439660","557400","A183","A1018 Dame Dorothy St",".30",".19000000000000000","431","153","31154","2216","3747","500","49","23","13","34","15","634","37904"
"2000","6618","Counted","Manual count","North East","Stockton-on-Tees","A66","TA","439999","517439","LA Boundary","A135","7.70","4.78000000000000000","1","198","26079","152","3188","1215","261","167","163","616","433","2855","32472"
"2000","6619","Counted","Manual count","North East","Darlington","A67","PA","425000","514230","B6275","Edinburgh Drive","5.70","3.54000000000000000","19","75","6119","74","551","184","28","13","6","20","17","268","7087"
"2000","6620","Estimated","Estimated using previous year's AADF on this link","North East","Northumberland","A68","PA","398400","570000","B6318","A6079","6.90","4.29000000000000000","0","16","1929","22","285","72","129","87","4","26","18","336","2588"
"2000","6621","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A68","PA","414750","530000","B6282","A689","9.20","5.72000000000000000","12","85","4926","32","756","248","41","40","25","79","50","483","6282"
"2000","6623","Counted","Manual count","North East","Northumberland","A69","TA","380000","564900","LA Boundary","A686","25.00","15.53000000000000000","11","42","8197","108","1241","412","66","62","227","509","243","1519","11107"
"2000","6624","Counted","Manual count","North East","Northumberland","A69","TA","400000","565400","A68","A68","4.60","2.86000000000000000","0","155","17993","115","2516","708","151","86","228","521","314","2008","22787"
"2000","6637","Counted","Manual count","North East","South Tyneside","A19","TA","433950","563000","Abingdon Way/slip from Hedworth Lane","A194","1.00",".62000000000000000","15","293","26034","82","3520","1225","112","203","205","582","332","2659","32588"
"2000","6715","Estimated","Estimated using previous year's AADF on this link","North East","Durham","A167","TA","427850","552080","Durham rd roundabout","A1(M)","2.50","1.55000000000000000","48","162","29191","219","3124","560","110","131","92","103","39","1035","33731"
"2000","6717","Counted","Manual count","North East","Darlington","A167","PA","428000","510910","LA Boundary","A66","3.50","2.17000000000000000","26","91","7452","92","949","259","43","31","20","23","29","405","8989"
"2000","6725","Estimated","Estimated using previous year's AADF on this link","North East","Stockton-on-Tees","A1130","PA","446000","517685","A66 slip","LA Boundary","1.50",".93000000000000000","136","132","10402","65","958","244","13","2","10","8","8","285","11842"
